onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
37.178	n/a	18589	symbolSearch_start	92	n/a	n/a
40.108	n/a	20054	newPage	20	n/a	n/a
52.336	n/a	26168	trialResponse	14	0	0
56.04	n/a	28020	trialResponse	14	1	1
61.47	n/a	30735	trialResponse	14	0	0
68.876	n/a	34438	trialResponse	14	0	0
77.694	n/a	38847	trialResponse	14	0	0
79.662	n/a	39831	trialResponse	14	1	1
84.158	n/a	42079	trialResponse	14	0	0
89.406	n/a	44703	trialResponse	14	1	1
96.662	n/a	48331	trialResponse	14	0	0
101.996	n/a	50998	trialResponse	14	0	0
110.66	n/a	55330	trialResponse	14	0	0
112.102	n/a	56051	trialResponse	14	1	1
114.544	n/a	57272	trialResponse	14	0	0
116.798	n/a	58399	trialResponse	14	1	1
118.862	n/a	59431	trialResponse	14	1	1
119.814	n/a	59907	newPage	20	n/a	n/a
126.534	n/a	63267	trialResponse	14	1	1
128.758	n/a	64379	trialResponse	14	1	1
133.158	n/a	66579	trialResponse	14	0	0
135.132	n/a	67566	trialResponse	14	1	1
140.55	n/a	70275	trialResponse	14	0	0
143.74	n/a	71870	trialResponse	14	1	1
147.846	n/a	73923	trialResponse	14	0	0
152.046	n/a	76023	trialResponse	14	1	1
156.606	n/a	78303	trialResponse	14	1	1
161.662	n/a	80831	trialResponse	14	0	0
161.676	n/a	80838	newPage	20	n/a	n/a
165.631	n/a	82815.5	boundary	boundary	n/a	n/a
